"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.084008347E-2,-1.209665835E0,-1.191867203E-1,-1.041608378E0
2.081108326E-2,-1.006837910E0,1.580005378E-1,-8.547255188E-1
3.078308329E-2,-5.444117376E-1,3.559720570E-1,-3.040300709E-1
4.075408331E-2,-2.118153870E-2,3.819991833E-1,7.010144985E-1
5.072608334E-2,3.306281778E-1,4.376190680E-1,1.605602733E0
6.069708336E-2,5.636976090E-1,6.409250021E-1,2.472522036E0
7.066908339E-2,7.992535686E-1,7.685258657E-1,3.009523305E0
8.064008341E-2,9.048934597E-1,7.270123887E-1,2.840057546E0
9.061108343E-2,6.742015064E-1,6.473125005E-1,2.199036650E0
1.005830835E-1,2.977370051E-1,4.605752367E-1,1.307995244E0
1.105540835E-1,-8.881657451E-2,1.959998381E-1,3.956945318E-1
1.205260833E-1,-3.790834692E-1,-2.681299210E-2,-3.043896747E-1
1.304970833E-1,-5.854773179E-1,-1.762841964E-1,-6.378470278E-1
1.404690833E-1,-5.669618171E-1,-3.197684366E-1,-6.786325264E-1
1.504400834E-1,-3.275972736E-1,-3.542529756E-1,-6.192856264E-1
1.604110834E-1,-6.931347907E-2,-2.470594794E-1,-6.137553298E-1
1.703830834E-1,1.362825170E-1,-6.373698950E-2,-6.289370406E-1
1.803538334E-1,2.909603745E-1,6.091570795E-2,-5.776411718E-1
1.903258334E-1,4.443167612E-1,4.826057911E-2,-4.616061008E-1
2.002968334E-1,4.983204755E-1,-2.925946712E-2,-3.307775742E-1
2.102688334E-1,4.754157624E-1,-7.731773257E-2,-2.291588134E-1
2.202398335E-1,3.702246451E-1,-1.112409389E-1,-2.808476150E-1
2.302108335E-1,2.696665692E-1,-1.716532016E-1,-3.469989198E-1
2.401828333E-1,2.203605080E-1,-2.776749158E-1,-3.705836642E-1
2.501538333E-1,1.222527078E-1,-2.984711230E-1,-3.808005041E-1
2.601258333E-1,1.031685653E-1,-3.054819345E-1,-3.727249146E-1
2.700968334E-1,1.965433368E-1,-2.716101837E-1,-3.801643270E-1
2.800688334E-1,3.169220120E-1,-1.971189952E-1,-3.550154525E-1
2.900398334E-1,4.614605051E-1,-1.725957727E-1,-2.971590078E-1
3.000108334E-1,5.853325993E-1,-1.664918643E-1,-3.348753029E-1
3.099828335E-1,5.999021065E-1,-1.273698986E-1,-3.305512869E-1
3.199538335E-1,6.150607207E-1,4.010488272E-2,-3.085903144E-1
3.299258333E-1,6.252486169E-1,1.476690924E-1,-3.057374579E-1
3.398968333E-1,7.119809514E-1,2.042239469E-1,-2.772837371E-1
3.498688333E-1,7.614036646E-1,2.168919396E-1,-2.899178159E-1
3.598398333E-1,6.553243554E-1,2.153096831E-1,-3.240304720E-1
3.698108334E-1,4.745614842E-1,2.295008755E-1,-2.445574558E-1
3.797828334E-1,4.149535060E-1,1.908630592E-1,-9.365192950E-2
3.897538334E-1,4.509726468E-1,1.518077517E-1,8.487467408E-2
