"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
7.638931274E-3,6.167070931E1,2.359822620E1,1.201783981E2,NaN,NaN,1.951919576E1,3.000000000E1
1.367294788E-2,6.167079097E1,2.359828349E1,1.199900000E2,NaN,NaN,2.175124424E1,3.000000000E1
3.703892231E-2,6.167079210E1,2.359827582E1,1.199900000E2,NaN,NaN,2.174883406E1,3.000002954E1
2.465028524E0,6.167076776E1,2.359824508E1,1.105050590E2,1.288805366E0,NaN,2.111247311E1,6.895333862E1
3.465023756E0,6.167076776E1,2.359824508E1,1.105394141E2,1.288805366E0,NaN,2.158803741E1,6.895458122E1
4.465018749E0,6.167077358E1,2.359824909E1,1.200643376E2,NaN,NaN,2.169511412E1,3.000040541E1
5.465013266E0,6.167080485E1,2.359825975E1,1.200586858E2,NaN,NaN,1.848438480E1,3.000014358E1
6.465008259E0,6.167080485E1,2.359825975E1,1.200519756E2,NaN,NaN,1.929135777E1,3.000725110E1
7.465003610E0,6.167081131E1,2.359826038E1,1.197185925E2,NaN,NaN,1.930773600E1,3.000042786E1
8.465009451E0,6.167027738E1,2.359749452E1,1.171465857E2,0.000000000E0,NaN,1.099061698E1,2.298848534E1
9.465007663E0,6.167026044E1,2.359748633E1,1.173137153E2,0.000000000E0,NaN,1.132569638E1,3.514844894E1
1.046500230E1,6.167023798E1,2.359747757E1,1.179995260E2,0.000000000E0,NaN,1.111367120E1,1.220782566E1
1.146499705E1,6.167019125E1,2.359744583E1,1.186226611E2,0.000000000E0,NaN,1.138229579E1,1.490824604E1
1.246497047E1,6.167016286E1,2.359746670E1,1.221478246E2,1.091261268E0,1.734357697E2,3.719986622E0,7.273790359E0
1.346496356E1,6.167014896E1,2.359747332E1,1.224183347E2,1.283978462E0,1.745657153E2,2.933100453E0,5.531744957E0
1.470047653E1,6.167013194E1,2.359747845E1,1.216820443E2,1.283978462E0,1.668574780E2,2.996174153E0,4.721912861E0
1.570172632E1,6.167012072E1,2.359748397E1,1.216821093E2,1.283978462E0,1.668574828E2,4.748651530E0,7.483783513E0
1.670289755E1,6.167010881E1,2.359748807E1,1.216715531E2,1.314234972E0,1.668399567E2,4.748651530E0,7.066440107E0
1.770406437E1,6.167010005E1,2.359749191E1,1.219339206E2,1.248901129E0,1.654026392E2,4.748651530E0,6.542602124E0
1.870507300E1,6.167009357E1,2.359749224E1,1.223026140E2,1.248901129E0,1.654237172E2,4.748651530E0,6.226589105E0
